_id,Title,Abstract,Type,Access,Date,Year,Month,MonthName,Day,DOI,Publisher,Authors,Locations[0],Locations[1],Locations[2],Locations[3],Locations[4],Locations[5],Locations[6],Locations[7],Locations[8],Locations[9],Locations[10],Locations[11],Universities,Countries
657ba0014516f0107ace6c17,Incentivizing Data Quality in Blockchain-Based Systems—The Case of the Digital Cardossier,"Inspired by an industry initiative to address the celebrated market for lemons (poor-quality used cars), we investigate how incentives for a permissioned blockchain-based system in the automobile ecosystem can be designed to ensure high-quality data storage and use by different stakeholders. The peer-to-peer distributed ledger platform connects organizations and car owners with disparate interests and hidden intentions. While previous literature has chiefly examined incentives for permissionless platforms, we leverage studies about crowdsensing applications to stimulate research on incentives in permissioned blockchains. This article uses the action design research approach to create an incentive system featuring a rating mechanism influenced by data correction measures. Furthermore, we propose relying on certain institutions capable of assessing data generated within the system. This combined approach of a decentralized data correction and an institutionalized data assessment is distinct from similar incentive systems suggested by literature. By using an agent-based model with strategy evolution, we evaluate the proposed incentive system. Our findings indicate that a rating-based revenue distribution leads to markedly higher data quality in the system. Additionally, the incentive system reveals hidden information of the agents and alleviates agency problems, contributing to an understanding of incentive design in inter-organizational blockchain-based data platforms. Furthermore, we explore incentive design in permissioned blockchains and discuss its latest implications.",RESEARCH-ARTICLE,OPEN ACCESS,09 September 2022,2022,9,September,9,https://doi.org/10.1145/3538228,Distributed Ledger Technologies: Research and Practice,Liudmila Zavolokina;Florian Spychiger;Gerhard Schwabe;Claudio J. Tessone,"Institute of Organizational Viability, School of Management and Law University of Applied Sciences, Blockchain and Distributed Ledger Group and UZH Blockchain Center, Faculty of Business, Economics and Informatics, University of Zurich, Zurich, Switzerland","Blockchain and Distributed Ledger Group and UZH Blockchain Center, Faculty of Business, Economics and Informatics, University of Zurich, Zurich, Switzerland","Digital Society Initiative and UZH Blockchain Center, Faculty of Business, Economics and Informatics, University of Zurich, Zurich, Switzerland","Information Management Research Group and UZH Blockchain Center, Faculty of Business, Economics and Informatics, University of Zurich, Zurich, Switzerland",,,,,,,,,Information Management Research Group and UZH Blockchain Center;Blockchain and Distributed Ledger Group and UZH Blockchain Center; Faculty of Business; School of Management and Law University of Applied Sciences;Institute of Organizational Viability;Digital Society Initiative and UZH Blockchain Center, Switzerland
657ba0014516f0107ace6c18,Connect API with Blockchain: A Survey on Blockchain Oracle Implementation,"A blockchain is a form of distributed ledger technology where transactions as data state changes are permanently recorded securely and transparently without the need for third parties. Besides, introducing smart contracts to the blockchain has added programmability, revolutionizing the software ecosystem toward decentralized applications (DApps). Although promising, the usability of smart contracts is primarily limited to on-chain data without access to the external systems (i.e., off-chain) where real-world data and events reside. This connectability to off-chain data for smart contracts and blockchain is an open practical problem referred to as the “oracle problem” and is defined as how real-world data can be transferred into/from the blockchain. Hence, Blockchain oracles are introduced and implemented in the form of application programming interfaces (APIs) connecting the real world to the blockchain for mitigating such a limitation. This paper studies and analyzes how blockchain oracles provide final feedback (i.e., outcome) to smart contracts and survey blockchain oracle technologies and mechanisms regarding data integrity and correctness. Since the existing solutions are extensive in terms of characteristics and usage, we investigate their structure and principles by classifying the blockchain oracle implementation techniques into two major groups voting-based strategies and reputation-based ones. The former mainly relies on participants’ stakes for outcome finalization, while the latter considers reputation and performance metrics in conjunction with authenticity-proof mechanisms for data correctness and integrity. We present the result of this classification with a thorough discussion of the state-of-the-art and provide the remaining challenges and future research directions in the end.",SURVEY,FREE ACCESS,20 October 2022,2022,10,October,20,https://doi.org/10.1145/3567582,ACM Computing Surveys,Young Choon Lee;Zhongli Dong;Amirmohammad Pasdar,"School of Computing, Macquarie University, Australia","Aglive Pty Ltd, Australia",,,,,,,,,,, Australia;Aglive Pty Ltd;School of Computing; Macquarie University, Australia
657ba0014516f0107ace6c19,Blockchain in eCommerce: A Special Issue of the ACM Transactions on Internet of ThingsBlockchain in eCommerce: A Special Issue of the ACM Transactions on Internet of Things,"As blockchain technology is becoming a driving force in the global economy, it is also gaining critical acclaim in the e-commerce industry. Both the blockchain and e-commerce are inseparable as they involve transactions. Blockchain protect transactions and e-commerce activities rely on them. Blockchain technology enables a decentralized marketplace to support important business activities like secure payments, managing the supply chain and reducing the fraud to mention few. In this special issue editorial we are introducing 11 research articles in this hot area of research that were selected by our reviewers from over than 250 submissions.",RESEARCH-ARTICLE,,18 January 2021,2021,1,January,18,https://doi.org/10.1145/3445788,ACM Transactions on Internet Technology,Jinan Fiaidhi;Wai Chi Fang;Tai-Hoon Kim;Tarek Abdelzaher;Sabah Mohammed;Carlos Ramos,"Lakehead University, Thunder Bay, Ontario, Canada","Lakehead University, Thunder Bay, Ontario, Canada","Polytechnic of Porto, Porto, Portugal","Sungshin W. University, Seongbuk-gu, Seoul, Korea","National Chiao Tung University, Hsinchu, Taiwan, ROC","University of Illinois at Urbana-Champaign, Urbana, IL, USA",,,,,,,Sungshin W. University; Hsinchu;Lakehead University; Seongbuk-gu;National Chiao Tung University;University of Illinois at Urbana-Champaign;Polytechnic of Porto; Thunder Bay; Porto; Urbana, ROC; Korea; USA; Canada; Portugal
657ba0014516f0107ace6c1a,Developing Cost-Effective Blockchain-Powered Applications: A Case Study of the Gas Usage of Smart Contract Transactions in the Ethereum Blockchain Platform,"Ethereum is a blockchain platform that hosts and executes smart contracts. Executing a function of a smart contract burns a certain amount of gas units (a.k.a., gas usage). The total gas usage depends on how much computing power is necessary to carry out the execution of the function. Ethereum follows a free-market policy for deciding the transaction fee for executing a transaction. More specifically, transaction issuers choose how much they are willing to pay for each unit of gas (a.k.a., gas price). The final transaction fee corresponds to the gas price times the gas usage. Miners process transactions to gain mining rewards, which come directly from these transaction fees. The flexibility and the inherent complexity of the gas system pose challenges to the development of blockchain-powered applications. Developers of blockchain-powered applications need to translate requests received in the frontend of their application into one or more smart contract transactions. Yet, it is unclear how developers should set the gas parameters of these transactions given that (i) miners are free to prioritize transactions whichever way they wish and (ii) the gas usage of a contract transaction is only known after the transaction is processed and included in a new block. In this article, we analyze the gas usage of Ethereum transactions that were processed between Oct. 2017 and Feb. 2019 (the Byzantium era). We discover that (i) most miners prioritize transactions based on their gas price only, (ii) 25% of the functions that received at least 10 transactions have an unstable gas usage (coefficient of variation = 19%), and (iii) a simple prediction model that operates on the recent gas usage of a function achieves an R-Squared of 0.76 and a median absolute percentage error of 3.3%. We conclude that (i) blockchain-powered application developers should be aware that transaction prioritization in Ethereum is frequently done based solely on the gas price of transactions (e.g., a higher transaction fee does not necessarily imply a higher transaction priority) and act accordingly and (ii) blockchain-powered application developers can leverage gas usage prediction models similar to ours to make more informed decisions to set the gas price of their transactions. Lastly, based on our findings, we list and discuss promising avenues for future research.",RESEARCH-ARTICLE,,09 March 2021,2021,3,March,9,https://doi.org/10.1145/3431726,ACM Transactions on Software Engineering and Methodology,Gustavo A. Oliva;Zhen M. (Jack) Jiang;Abdullah A. Zarir;Ahmed E. Hassan,"EconTech team at Amazon, Vancouver, BC, Canada","Software Analysis and Intelligence Lab (SAIL) at Queen’s University, Kingston, ON, Canada","Department of Electrical Engineering and Computer Science at York University, Toronto, Ontario, Canada","Software Analysis and Intelligence Lab (SAIL) at Queen’s University, Kingston, ON, Canada",,,,,,,,,Software Analysis and Intelligence Lab (SAIL) at Queen’s University; Kingston; Vancouver;Department of Electrical Engineering and Computer Science at York University; Toronto;EconTech team at Amazon, Canada
657ba0014516f0107ace6c1b,Blockchain-enabled Federated Learning: A Survey,"Federated learning (FL) has experienced a boom in recent years, which is jointly promoted by the prosperity of machine learning and Artificial Intelligence along with emerging privacy issues. In the FL paradigm, a central server and local end devices maintain the same model by exchanging model updates instead of raw data, with which the privacy of data stored on end devices is not directly revealed. In this way, the privacy violation caused by the growing collection of sensitive data can be mitigated. However, the performance of FL with a central server is reaching a bottleneck, while new threats are emerging simultaneously. There are various reasons, among which the most significant ones are centralized processing, data falsification, and lack of incentives. To accelerate the proliferation of FL, blockchain-enabled FL has attracted substantial attention from both academia and industry. A considerable number of novel solutions are devised to meet the emerging demands of diverse scenarios. Blockchain-enabled FL provides both theories and techniques to improve the performance of FL from various perspectives. In this survey, we will comprehensively summarize and evaluate existing variants of blockchain-enabled FL, identify the emerging challenges, and propose potentially promising research directions in this under-explored domain.",SURVEY,,21 November 2022,2022,11,November,21,https://doi.org/10.1145/3524104,ACM Computing Surveys,Md Palash Uddin;Longxiang Gao;Chenquan Gan;Yong Xiang;Youyang Qu;John Yearwood,"Data61, Commonwealth Scientific and Industrial Research Organisation, Australia","School of Information Technology, Deakin University, Australia","School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, China","School of Information Technology, Deakin University, Australia","Qilu University of Technology (Shandong Academy of Sciences), and Shandong Computer Science Center (National Supercomputer Center in Jinan), China","School of Information Technology, Deakin University, Australia",,,,,,,Data61;Qilu University of Technology (Shandong Academy of Sciences);School of Information Technology; and Shandong Computer Science Center (National Supercomputer Center in Jinan); Chongqing University of Posts and Telecommunications;School of Communication and Information Engineering; Commonwealth Scientific and Industrial Research Organisation; Deakin University, China; Australia
657ba0014516f0107ace6c1c,Incentive-Driven Computation Offloading in Blockchain-Enabled E-Commerce,"Blockchain is regarded as one of the most promising technologies to upgrade e-commerce. This article analyzes the challenges that current e-commerce is facing and introduces a new scenario of e-commerce enabled by blockchain. A framework is proposed for mining tasks in this scenario offloaded onto edge servers based on mobile edge computing. Then, the offloading issue is modeled as a multi-constrained optimization problem, and evolutionary algorithms are utilized and re-designed as solvers. The experimental results validate the efficiency of the framework and algorithms and also show that the lower bound of computation resources exists to obtain the maximum overall revenue.",RESEARCH-ARTICLE,,22 December 2020,2020,12,December,22,https://doi.org/10.1145/3397160,ACM Transactions on Internet Technology,Hailiang Zhao;Honghao Gao;Guanjie Cheng;Jianwei Yin;Shuiguang Deng,"Zhejiang University, Hangzhou, China","Zhejiang University, Hangzhou, China","Zhejiang University, Hangzhou, China","Shanghai University, Hangzhou, China","Zhejiang University, Hangzhou, China",,,,,,,,Zhejiang University; Hangzhou;Shanghai University, China
657ba0014516f0107ace6c1d,Blockchain for Genomics: A Systematic Literature Review,"Human genomic data carry unique information about an individual and offer unprecedented opportunities for healthcare. The clinical interpretations derived from large genomic datasets can greatly improve healthcare and pave the way for personalized medicine. Sharing genomic datasets, however, poses major challenges, as genomic data is different from traditional medical data, indirectly revealing information about descendants and relatives of the data owner and carrying valid information even after the owner passes away. Therefore, stringent data ownership and control measures are required when dealing with genomic data. In order to provide a secure and accountable infrastructure, blockchain technologies offer a promising alternative to traditional distributed systems. Indeed, the research on blockchain-based infrastructures tailored to genomics is on the rise. However, there is a lack of a comprehensive literature review that summarizes the current state-of-the-art methods in the applications of blockchain in genomics. In this article, we systematically look at the existing work both commercial and academic, and discuss the major opportunities and challenges. Our study is driven by five research questions that we aim to answer in our review. We also present our projections of future research directions which we hope the researchers interested in the area can benefit from.",REVIEW-ARTICLE,OPEN ACCESS,01 December 2022,2022,12,December,1,https://doi.org/10.1145/3563044,Distributed Ledger Technologies: Research and Practice,Fatih Turkmen;Dimka Karastoyanova;Mohammed Alghazwi;Joeri Van Der Velde,"University of Groningen, Groningen, The Netherlands","University of Groningen, Groningen, The Netherlands","University Medical Center Groningen, Groningen, The Netherlands","University of Groningen, Groningen, The Netherlands",,,,,,,,, Groningen;University Medical Center Groningen;University of Groningen, The Netherlands
657ba0014516f0107ace6c1e,Data Privacy Based on IoT Device Behavior Control Using Blockchain,"The Internet of Things (IoT) is expected to improve the individuals’ quality of life. However, ensuring security and privacy in the IoT context is a non-trivial task due to the low capability of these connected devices. Generally, the IoT device management is based on a centralized entity that validates communication and connection rights. Therefore, this centralized entity can be considered as a single point of failure. Yet, in the case of distributed approaches, it is difficult to delegate the right validation to IoT devices themselves in untrustworthy IoT environments. Fortunately, the blockchain may provide decentralization of overcoming the trust problem while designing a privacy-preserving system. To this end, we propose a novel privacy-preserving IoT device management framework based on the blockchain technology. In the proposed system, the IoT devices are controlled by several smart contracts that validate the connection rights according to the privacy permission settings predefined by the data owners and the stored record array of detected misbehavior of each IoT device. In fact, smart contracts can immediately detect the devices that have vulnerabilities and have been hacked or pose a threat to the IoT network. Therefore, the data owner’s privacy is preserved by enforcing the control over the own devices. For validation purposes, we deploy the proposed solution on a private Ethereum blockchain and give the performance evaluation.",RESEARCH-ARTICLE,,05 January 2021,2021,1,January,5,https://doi.org/10.1145/3434776,ACM Transactions on Internet Technology,Aïcha-Nabila Benharkat;Faiza Loukil;Elhadj Benkhelifa;Khouloud Boukadi;Chirine Ghedira-Guegan,"University of Lyon, University Jean Moulin Lyon 3, CNRS, LIRIS, France","University of Lyon, iaelyon school of Management, University Jean Moulin Lyon 3, CNRS, LIRIS, France","Mir@cl Laboratory, Sfax University, Tunisia","University of Lyon, INSALyon, CNRS, LIRIS, France","Staffordshire University, Stoke on Trent, UK",,,,,,,,University of Lyon; Sfax University; University Jean Moulin Lyon 3;Staffordshire University;Mir@cl Laboratory; Stoke on Trent; INSALyon; iaelyon school of Management, Tunisia; France; UK
657ba0014516f0107ace6c1f,Security and Privacy on Blockchain,"Blockchain offers an innovative approach to storing information, executing transactions, performing functions, and establishing trust in an open environment. Many consider blockchain as a technology breakthrough for cryptography and cybersecurity, with use cases ranging from globally deployed cryptocurrency systems like Bitcoin, to smart contracts, smart grids over the Internet of Things, and so forth. Although blockchain has received growing interests in both academia and industry in the recent years, the security and privacy of blockchains continue to be at the center of the debate when deploying blockchain in different applications. This article presents a comprehensive overview of the security and privacy of blockchain. To facilitate the discussion, we first introduce the notion of blockchains and its utility in the context of Bitcoin-like online transactions. Then, we describe the basic security properties that are supported as the essential requirements and building blocks for Bitcoin-like cryptocurrency systems, followed by presenting the additional security and privacy properties that are desired in many blockchain applications. Finally, we review the security and privacy techniques for achieving these security properties in blockchain-based systems, including representative consensus algorithms, hash chained storage, mixing protocols, anonymous signatures, non-interactive zero-knowledge proof, and so forth. We conjecture that this survey can help readers to gain an in-depth understanding of the security and privacy of blockchain with respect to concept, attributes, techniques, and systems.",SURVEY,PUBLIC ACCESS,03 July 2019,2019,7,July,3,https://doi.org/10.1145/3316481,ACM Computing Surveys,Rui Xue;Ling Liu;Rui Zhang,"State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, China and School of Cyber Security, University of Chinese Academy of Sciences, Haidian Dist, Beijing, China","State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, China and School of Cyber Security, University of Chinese Academy of Sciences, Haidian Dist, Beijing, China","School of Computer Science, Georgia Institute of Technology, Atlanta, GA",,,,,,,,,,School of Computer Science;State Key Laboratory of Information Security; Institute of Information Engineering; Georgia Institute of Technology, China; GA
657ba0014516f0107ace6c20,A Supply-chain System Framework Based on Internet of Things Using Blockchain Technology,"Blockchain offers an innovative approach to storing information, executing transactions, performing functions, and establishing trust in an open environment. Many consider blockchain as a technology breakthrough for cryptography and cybersecurity, with use cases ranging from globally deployed cryptocurrency systems like Bitcoin, to smart contracts, smart grids over the Internet of Things, and so forth. Although blockchain has received growing interests in both academia and industry in the recent years, the security and privacy of blockchains continue to be at the center of the debate when deploying blockchain in different applications. This article presents a comprehensive overview of the security and privacy of blockchain. To facilitate the discussion, we first introduce the notion of blockchains and its utility in the context of Bitcoin-like online transactions. Then, we describe the basic security properties that are supported as the essential requirements and building blocks for Bitcoin-like cryptocurrency systems, followed by presenting the additional security and privacy properties that are desired in many blockchain applications. Finally, we review the security and privacy techniques for achieving these security properties in blockchain-based systems, including representative consensus algorithms, hash chained storage, mixing protocols, anonymous signatures, non-interactive zero-knowledge proof, and so forth. We conjecture that this survey can help readers to gain an in-depth understanding of the security and privacy of blockchain with respect to concept, attributes, techniques, and systems.",RESEARCH-ARTICLE,,29 January 2021,2021,1,January,29,https://doi.org/10.1145/3409798,ACM Transactions on Internet Technology,Yan Zhong;Kun Lan;Simon Fong;Yuhao Chen;Qun Song;Rui Tang,"ZIAT DACC Laboratory, Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences, Zhuhai, China","ZIAT DACC Laboratory, Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences, Zhuhai, China","ZIAT DACC Laboratory, Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences, Zhuhai, China","ZIAT DACC Laboratory, Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences, Zhuhai, China","ZIAT DACC Laboratory, Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences, Zhuhai, China","Faculty of management and economics, Kunming University of Science and Technology, Kunming, Yunnan Province, China",,,,,,,Faculty of management and economics; Zhuhai Institutes of Advanced Technology of the Chinese Academy of Sciences;ZIAT DACC Laboratory; Kunming University of Science and Technology, China
